InputFolder					xMin	xMax	yMin	yMax	Resolution	Outname
SingleTileLandscape	1	34	2	24	11	SingleTileLandscape
SingleTilePortrait	-1	21	2	35	11	SingleTilePortrait
SingleTileLandscape	1	34	2	24	13	SingleTileLandscapeCoarse
SingleTilePortrait	-1	21	2	35	13	SingleTilePortraitCoarse
SingleTileLandscape	1	34	2	24	7	SingleTileLandscapeFine
SingleTilePortrait	-1	21	2	35	6	SingleTilePortraitFine
SingleTileSquare	0	44	0	44	11	SingleTileSquare
SingleTileSquare	0	44	0	44	17	SingleTileSquareCoarse
SingleTileSquare	0	44	0	44	2	SingleTileSquareFine
Checkerboard	0	16	4	20	4	CheckerboardCoarse
Checkerboard	0	16	4	20	2	CheckerboardFine
Checkerboard	0	16	4	20	1	Checkerboard1m
Separated	-124	84	-124	39	1	Separated1m
Separated	70	84	-84	-70	7	SeparatedPart7
Separated	70	84	-84	-70	2	SeparatedPart7Fine
Separated	70	84	-84	-70	13	SeparatedPart7Coarse
Separated	-6	36	-36 -12	3	SeparatedBigPart
Separated	-5	40	-40 -5	5	SeparatedBigPartCoarse
ResamplingGaps	0	120	0	120	10	ResamplingGaps
ResamplingGaps	0	120	0	120	17	ResamplingGaps17m
Clutter	0	20	0	20	10	Clutter
Clutter	0	20	0	20	20	ClutterCoarse
Clutter	0	20	0	20	4	ClutterFine
